date,code,type,name,shares,price,market_value,pnl_pct
2026-05-26,513010,B,港股科技 ETF,17300.0,0.648,11210.40,-0.15
2026-05-26,563360,B,中证A500 ETF,21700.0,1.395,30271.50,0.87
2026-05-26,515180,B,中证红利 ETF,0.0,1.399,,
2026-05-26,159915,B,创业板 ETF,0.0,4.055,,
2026-05-26,159941,B,纳指100 ETF,66500.0,1.614,107331.00,16.96
2026-05-26,002594,C,比亚迪,800.0,96.550,77240.00,-13.46
2026-05-26,001280,C,中国铀业,200.0,75.980,15196.00,-20.12
2026-05-26,02015,C,理想汽车-W,2400.0,62.150,149160.00,-9.97
2026-05-26,601012,C,隆基绿能,3600.0,14.600,52560.00,-23.64
2026-05-26,000568,C,泸州老窖,300.0,90.780,27234.00,-15.83
2026-05-26,601318,C,中国平安,400.0,54.270,21708.00,-16.88
2026-05-26,600219,C,南山铝业,46500.0,5.680,264120.00,-15.35
2026-05-26,CASH,A,活期存款,421023.0,,421023.00,
2026-05-26,ZGYQ,A,中银国有企业债债卷C,146000.0,,146000.00,
2026-05-26,MTRSU,D,美团RSU,37000.0,78.800,2915600.00,
